1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1896,241,453,280,1328,973,1672,1003,864,867,868,1103,1104,1247,1246,858,859,860,1144,1317,1289,1270,1045,742,1895,1650,388,533,539,181,121,417,593,505,60,126,551,515,666,1334
1873,631,131,1677,1926,740,1936,1422,1029,1842,1681,1101,1102,1155,1280,1508,1699,952,752,1533,1035,1461,1428,1057,1676,1552,1319,619,182,364,115,375,594,457,84,228,676,272,392,1331
1168,285,225,1573,1072,1329,837,1291,1073,1217,791,1502,919,1173,1174,982,1801,1545,813,1487,746,1644,923,1346,1639,818,1355,554,223,407,101,482,287,43,636,418,674,271,586,959
1169,317,140,499,163,958,926,1092,1496,943,974,1154,751,1011,1453,691,1404,1031,1995,1757,1268,1492,1876,1021,941,1295,1578,335,286,279,235,196,207,158,623,486,302,356,409,1727
1718,597,640,65,983,1116,1940,1698,1783,1700,1547,1678,846,1416,1438,1449,1683,862,1284,784,1618,1494,1393,1696,1426,836,940,414,473,217,230,152,170,319,671,511,104,150,293,1124
1777,209,497,1016,1365,1345,1828,1832,1890,1356,727,1069,1478,1477,1287,795,687,994,878,1522,1805,689,1695,1851,1475,1655,1294,295,300,276,187,111,139,253,630,274,372,651,57,1914
1190,435,608,1382,513,1527,1133,1307,1952,1058,1353,1946,1263,1435,737,744,1647,1825,1459,1694,1448,1233,1349,1786,991,397,1553,260,167,247,769,433,366,624,610,348,381,422,512,1118
1191,467,1337,1937,819,1566,803,1530,700,1192,838,1583,1120,1457,1017,1602,890,1062,1951,797,809,1932,917,1607,1326,865,1878,332,123,1572,673,147,427,114,119,672,426,617,151,1115
1176,110,677,1670,1625,1998,1798,903,1605,1433,1266,1008,1726,802,761,1253,1040,1617,1859,765,1335,1164,792,762,1640,1310,1802,1621,434,1794,1614,273,71,206,669,643,156,77,633,1130
1751,353,267,1848,1399,915,832,1546,1320,1241,1967,1088,877,1126,1277,1561,1401,1994,1481,924,824,906,725,1370,1504,1286,920,900,1153,1077,312,365,296,205,359,530,545,490,487,1195
1944,443,236,1664,711,856,738,714,985,912,1364,1587,686,1764,976,1571,1606,902,736,1535,956,1019,1415,944,1132,1746,1410,520,1638,1048,136,305,596,447,168,590,581,620,148,1186
1735,488,1080,1407,1669,863,1728,1682,1997,756,1495,1398,987,787,1261,1824,1001,1267,1690,1036,732,1892,1149,709,1856,1588,510,995,509,160,61,227,598,145,64,526,503,194,157,1839
1177,616,116,1354,1342,1276,1779,968,951,1027,889,1816,1444,1847,1667,1579,1265,1446,1753,1604,1654,1050,1473,1949,1913,1972,1563,980,918,652,367,681,1378,402,469,578,535,369,70,1965
1765,528,449,1387,800,1509,1075,692,1128,1100,1510,1916,807,1170,1431,988,806,1020,1904,1030,1741,1961,1908,1580,1615,1188,1041,930,875,103,1458,538,573,337,69,584,54,558,155,1769
1742,637,516,815,1622,1648,1780,970,690,1455,916,1179,1511,715,1086,873,1226,895,1074,1293,1854,1980,1630,823,1601,1978,1053,171,1351,1368,468,303,688,532,428,611,627,210,188,1125
1054,649,220,1213,1359,1962,821,1489,1210,848,1323,1049,1162,1282,1464,1616,1956,1803,1796,1311,876,1052,1486,1685,1841,825,1417,1316,1577,1928,340,408,603,109,301,105,66,589,557,1135
1643,450,682,1392,1935,1476,1863,1663,1465,1958,1018,1514,935,971,1340,705,1223,1574,785,1061,1534,1227,1412,1620,1318,1652,747,1219,1582,169,98,117,264,644,100,625,585,605,506,1889
1394,146,588,275,1066,1315,1114,1037,1427,1484,1713,1325,1445,1081,1397,731,755,1789,1720,1885,1590,1330,1208,1585,393,1629,1380,246,1838,655,314,403,73,475,165,291,330,494,179,1788
1804,423,567,1059,893,1503,1943,1384,1613,990,1918,1420,814,1521,822,1388,1366,1252,892,1097,1207,1537,1500,1784,1235,1230,1575,540,1373,1931,667,255,132,63,568,343,72,647,389,1189
1738,398,216,1562,395,1468,1576,1591,1450,1257,1248,704,1852,1612,728,724,947,1009,684,1386,1950,850,696,1532,1596,1374,775,804,880,336,1375,1047,288,122,609,192,522,442,308,1724
1719,133,662,2000,1403,1297,1127,984,726,1216,1710,1693,1194,1520,1529,1028,1321,1879,1068,901,898,1948,789,1499,1656,1999,1645,82,1234,197,47,600,87,51,380,44,83,189,212,1147
1737,45,641,1973,1358,1405,1528,979,1626,1309,1627,1959,760,1817,1067,887,1411,721,1915,1881,1773,1855,1955,1981,1536,978,268,1078,1439,517,471,518,252,270,572,621,547,74,339,1239
741,410,200,1322,1884,779,1490,897,1470,1200,1966,855,796,1611,701,1686,1564,1093,1090,1934,1350,1278,928,826,1243,604,564,454,1813,347,622,1462,431,263,675,62,419,665,1240,1238
1888,451,214,318,734,1039,707,776,938,1463,1250,1771,1939,1369,1112,1598,773,886,977,144,1357,1920,844,1609,1283,1662,360,1082,370,202,521,143,127,553,56,99,173,350,559,1749
1781,595,463,1043,1891,1924,1775,1646,905,1919,1376,1512,1296,950,1151,997,730,719,1367,1304,1469,1988,1409,1096,1038,452,91,465,441,1649,565,562,555,334,316,178,231,78,311,1748
1782,629,174,251,706,953,1516,1228,847,1941,899,1454,866,729,1877,1406,780,1180,1014,1549,1070,1232,811,1594,1763,592,289,94,658,310,546,461,346,481,354,129,41,645,261,1721
